"id","city","state","postalCode","dmaName","latitude","longitude","Carrols","Remodel"
"6405","CANTON","NC","28716","Greenville-Spart-Asheville, SC","35.555240","-82.850887",TRUE,FALSE
"6401","Buford","GA","30518","Atlanta, GA","34.092303","-83.999801",FALSE,FALSE
"6387","Burtonsville","MD","20866","Washington, DC","39.113452","-76.932232",FALSE,FALSE
"6388","ALBUQUERQUE","NM","87110","Albuquerque-Santa Fe, NM","35.087450","-106.568592",FALSE,TRUE
"6389","COLUMBIA CITY","IN","46725","Ft. Wayne, IN","41.165607","-85.487617",TRUE,FALSE
"6392","BRADENTON","FL","34208","Tampa-St. Petersburg, FL","27.492025","-82.479614",FALSE,FALSE
"6395","LAURENS","SC","29360","Greenville-Spart-Asheville, SC","34.492791","-81.980702",FALSE,FALSE
"6399","WHITTIER","CA","90606","Los Angeles, CA","33.973184","-118.073037",FALSE,FALSE
"6400","OKEECHOBEE","FL","34972","West Palm Beach-Ft. Pierce, FL","27.243347","-80.823486",FALSE,FALSE
"6417","EDINBURG","TX","78539","Mc Allen-Brownsville, TX","26.287348","-98.164891",FALSE,FALSE
"6418","Denham Springs","LA","70727","Baton Rouge, LA","30.456833","-90.955227",FALSE,FALSE
"6416","FORTUNA","CA","95540","Eureka, CA","40.581694","-124.146374",FALSE,FALSE
"1","MIAMI","FL","33142","Miami-Ft. Lauderdale, FL","25.809483","-80.239913",FALSE,FALSE
"4","HOMESTEAD","FL","33033","Miami-Ft. Lauderdale, FL","25.484790","-80.461292",FALSE,FALSE
"5","MIAMI","FL","33147","Miami-Ft. Lauderdale, FL","25.846963","-80.241513",FALSE,FALSE
"6","MIAMI","FL","33156","Miami-Ft. Lauderdale, FL","25.685036","-80.312300",FALSE,FALSE
"7","MIAMI","FL","33145","Miami-Ft. Lauderdale, FL","25.750310","-80.243567",FALSE,FALSE
"10","HIALEAH","FL","33010","Miami-Ft. Lauderdale, FL","25.830717","-80.266825",FALSE,FALSE
"12","MIAMI","FL","33162","Miami-Ft. Lauderdale, FL","25.925738","-80.161649",FALSE,FALSE
"6406","New Orleans","LA","70119","New Orleans, LA","29.983220","-90.105320",FALSE,FALSE
"13","MIAMI","FL","33169","Miami-Ft. Lauderdale, FL","25.946518","-80.205739",FALSE,FALSE
"6409","LODI","CA","95240","Sacramento-Stockton, CA","38.137402","-121.260488",FALSE,FALSE
"6410","FOREST","VA","24551","Roanoke-Lynchburg, VA","37.377828","-79.247998",TRUE,FALSE
"6411","Las Vegas","NV","89108","Las Vegas, NV","36.217880","-115.242114",FALSE,FALSE
"6413","ANDREWS AFB","MD","20762","Washington, DC","38.818407","-76.883734",FALSE,FALSE
"6430","SHREVEPORT","LA","71108","Shreveport, LA","32.449182","-93.780770",TRUE,FALSE
"6431","Greencastle","IN","46135","Indianapolis, IN","39.646630","-86.828830",FALSE,FALSE
"6432","CAROL STREAM","IL","60188","Chicago, IL","41.939952","-88.148187",FALSE,FALSE
"1904","MCALLEN","TX","78501","Mc Allen-Brownsville, TX","26.193363","-98.231730",FALSE,FALSE
"6419","SAN JOSE","CA","95122","San Francisco-Oak-San Jose, CA","37.333967","-121.853866",FALSE,FALSE
"6420","SUMMERVILLE","SC","29485","Charleston, SC","32.965118","-80.166138",FALSE,FALSE
"6423","ALTOONA","PA","16602","Johnstown-Altoona, PA","40.518365","-78.373744",TRUE,FALSE
"6424","Johnston","RI","02919","Providence-New Bedford, RI","41.859844","-71.488037",FALSE,FALSE
"6425","MONROE","MI","48162","Toledo, OH","41.928306","-83.354718",FALSE,FALSE
"6426","PIERRE","SD","57501","Sioux Falls-Mitchell, SD","44.367502","-100.355607",FALSE,FALSE
"6427","Lawrenceville","GA","30046","Atlanta, GA","33.940182","-83.982536",FALSE,FALSE
"6449","FRESNO","CA","93720","Fresno-Visalia, CA","36.838364","-119.753664",FALSE,FALSE
"6452","HANOVER","MD","21076","Baltimore, MD","39.160228","-76.680891",TRUE,FALSE
"1928","Bay St. Louis","MS","39520","New Orleans, LA","30.317361","-89.346574",FALSE,FALSE
"1924","ROCHESTER","NY","14606","Rochester, NY","43.164745","-77.646767",TRUE,FALSE
"1921","BRIDGETON","NJ","08302","Philadelphia, PA","39.458555","-75.209147",FALSE,FALSE
"1915","WICHITA","KS","67212","Wichita-Hutchinson, KS","37.695095","-97.444070",FALSE,FALSE
"1912","NEWTON","NJ","07860","New Jersey - Sub","41.070109","-74.741237",TRUE,FALSE
"1911","ANSONIA","CT","06401","Hartford-New Haven, CT","41.332850","-73.083877",FALSE,FALSE
