"id","status","city","state","postalCode","dmaName","latitude","longitude","Carrols"
"6405","Open","CANTON","NC","28716","Greenville-Spart-Asheville, SC","35.555240","-82.850887",TRUE
"6401","Open","Buford","GA","30518","Atlanta, GA","34.092303","-83.999801",FALSE
"6387","Open","Burtonsville","MD","20866","Washington, DC","39.113452","-76.932232",FALSE
"6388","Remodel","ALBUQUERQUE","NM","87110","Albuquerque-Santa Fe, NM","35.087450","-106.568592",FALSE
"6389","Open","COLUMBIA CITY","IN","46725","Ft. Wayne, IN","41.165607","-85.487617",TRUE
"6392","Open","BRADENTON","FL","34208","Tampa-St. Petersburg, FL","27.492025","-82.479614",FALSE
"6395","Open","LAURENS","SC","29360","Greenville-Spart-Asheville, SC","34.492791","-81.980702",FALSE
"6399","Open","WHITTIER","CA","90606","Los Angeles, CA","33.973184","-118.073037",FALSE
"6400","Open","OKEECHOBEE","FL","34972","West Palm Beach-Ft. Pierce, FL","27.243347","-80.823486",FALSE
"6417","Open","EDINBURG","TX","78539","Mc Allen-Brownsville, TX","26.287348","-98.164891",FALSE
"6418","Open","Denham Springs","LA","70727","Baton Rouge, LA","30.456833","-90.955227",FALSE
"6416","Open","FORTUNA","CA","95540","Eureka, CA","40.581694","-124.146374",FALSE
"1","Open","MIAMI","FL","33142","Miami-Ft. Lauderdale, FL","25.809483","-80.239913",FALSE
"4","Open","HOMESTEAD","FL","33033","Miami-Ft. Lauderdale, FL","25.484790","-80.461292",FALSE
"5","Open","MIAMI","FL","33147","Miami-Ft. Lauderdale, FL","25.846963","-80.241513",FALSE
"6","Open","MIAMI","FL","33156","Miami-Ft. Lauderdale, FL","25.685036","-80.312300",FALSE
"7","Open","MIAMI","FL","33145","Miami-Ft. Lauderdale, FL","25.750310","-80.243567",FALSE
"10","Open","HIALEAH","FL","33010","Miami-Ft. Lauderdale, FL","25.830717","-80.266825",FALSE
"12","Open","MIAMI","FL","33162","Miami-Ft. Lauderdale, FL","25.925738","-80.161649",FALSE
"6406","Open","New Orleans","LA","70119","New Orleans, LA","29.983220","-90.105320",FALSE
"13","Open","MIAMI","FL","33169","Miami-Ft. Lauderdale, FL","25.946518","-80.205739",FALSE
"6409","Open","LODI","CA","95240","Sacramento-Stockton, CA","38.137402","-121.260488",FALSE
"6410","Open","FOREST","VA","24551","Roanoke-Lynchburg, VA","37.377828","-79.247998",TRUE
"6411","Open","Las Vegas","NV","89108","Las Vegas, NV","36.217880","-115.242114",FALSE
"6413","Open","ANDREWS AFB","MD","20762","Washington, DC","38.818407","-76.883734",FALSE
"6430","Open","SHREVEPORT","LA","71108","Shreveport, LA","32.449182","-93.780770",TRUE
"6431","Open","Greencastle","IN","46135","Indianapolis, IN","39.646630","-86.828830",FALSE
"6432","Open","CAROL STREAM","IL","60188","Chicago, IL","41.939952","-88.148187",FALSE
"1904","Open","MCALLEN","TX","78501","Mc Allen-Brownsville, TX","26.193363","-98.231730",FALSE
"6419","Open","SAN JOSE","CA","95122","San Francisco-Oak-San Jose, CA","37.333967","-121.853866",FALSE
"6420","Open","SUMMERVILLE","SC","29485","Charleston, SC","32.965118","-80.166138",FALSE
"6423","Open","ALTOONA","PA","16602","Johnstown-Altoona, PA","40.518365","-78.373744",TRUE
"6424","Open","Johnston","RI","02919","Providence-New Bedford, RI","41.859844","-71.488037",FALSE
"6425","Open","MONROE","MI","48162","Toledo, OH","41.928306","-83.354718",FALSE
"6426","Open","PIERRE","SD","57501","Sioux Falls-Mitchell, SD","44.367502","-100.355607",FALSE
"6427","Open","Lawrenceville","GA","30046","Atlanta, GA","33.940182","-83.982536",FALSE
"6449","Open","FRESNO","CA","93720","Fresno-Visalia, CA","36.838364","-119.753664",FALSE
"6452","Open","HANOVER","MD","21076","Baltimore, MD","39.160228","-76.680891",TRUE
"1928","Open","Bay St. Louis","MS","39520","New Orleans, LA","30.317361","-89.346574",FALSE
"1924","Open","ROCHESTER","NY","14606","Rochester, NY","43.164745","-77.646767",TRUE
"1921","Open","BRIDGETON","NJ","08302","Philadelphia, PA","39.458555","-75.209147",FALSE
"1915","Open","WICHITA","KS","67212","Wichita-Hutchinson, KS","37.695095","-97.444070",FALSE
"1912","Open","NEWTON","NJ","07860","New Jersey - Sub","41.070109","-74.741237",TRUE
"1911","Open","ANSONIA","CT","06401","Hartford-New Haven, CT","41.332850","-73.083877",FALSE
"1906","Open","BRUNSWICK","ME","04011","Portland-Auburn, ME","43.907221","-69.917801",TRUE
