BusinessDate,CLS,BKC,OrderSource,Orders,SubTotal,Whoppers,Jrs,Duos,DuoOrders,DuoSubTotal
11/03/2022,285,1799,Delivery,4,62.26,1,0,0,0,0
11/03/2022,285,1799,Store,519,5850.56,106,57,0,0,0
11/04/2022,285,1799,Delivery,1,12.74,0,0,0,0,0
11/04/2022,285,1799,Store,562,5824.5,98,63,0,0,0
11/05/2022,285,1799,Delivery,6,124.05,0,0,0,0,0
11/05/2022,285,1799,Store,485,5663.14,67,66,0,0,0
11/06/2022,285,1799,Delivery,4,102.53,0,0,0,0,0
11/06/2022,285,1799,Store,399,4532,54,38,0,0,0
11/07/2022,285,1799,Delivery,2,37.2,0,0,0,0,0
11/07/2022,285,1799,Store,479,4915.44,64,54,0,0,0
11/08/2022,285,1799,Delivery,2,73.15,0,0,0,0,0
11/08/2022,285,1799,Store,472,5086.5,76,49,0,0,0
11/09/2022,285,1799,Delivery,1,14.68,0,0,0,0,0
11/09/2022,285,1799,Store,513,5531.7,69,72,0,0,0
11/10/2022,285,1799,Delivery,4,75.76,4,0,0,0,0
11/10/2022,285,1799,Store,580,6209.23,81,73,0,0,0
11/11/2022,285,1799,Delivery,5,96.42,0,0,0,0,0
11/11/2022,285,1799,Store,540,6142.97,90,71,0,0,0
11/12/2022,285,1799,Delivery,3,101.63,0,0,0,0,0
11/12/2022,285,1799,Store,422,4562.7,47,40,0,0,0
11/13/2022,285,1799,Delivery,3,46.14,0,0,0,0,0
11/13/2022,285,1799,Store,381,4471.32,56,40,0,0,0
11/14/2022,285,1799,Delivery,5,112.06,0,0,0,0,0
11/14/2022,285,1799,Store,488,5269.51,73,51,0,0,0
11/15/2022,285,1799,Delivery,3,67.11,0,0,0,0,0
11/15/2022,285,1799,Store,427,4616.42,67,50,0,0,0
11/16/2022,285,1799,Delivery,2,29.8,0,1,0,0,0
11/16/2022,285,1799,Store,464,4981.85,59,48,0,0,0
11/17/2022,285,1799,Delivery,5,135.33,1,1,0,0,0
11/17/2022,285,1799,Store,501,5461.07,95,58,0,0,0
11/18/2022,285,1799,Delivery,7,170.23,0,0,0,0,0
11/18/2022,285,1799,Store,558,6324.32,112,55,0,0,0
11/19/2022,285,1799,Delivery,4,128.88,2,1,0,0,0
11/19/2022,285,1799,Store,456,5576.22,113,50,0,0,0
11/20/2022,285,1799,Delivery,9,166.14,2,1,0,0,0
11/20/2022,285,1799,Store,345,4404.19,87,32,0,0,0
11/21/2022,285,1799,Delivery,3,74.77,1,1,0,0,0
11/21/2022,285,1799,Store,489,5313.59,87,54,0,0,0
11/22/2022,285,1799,Delivery,3,66.33,0,0,0,0,0
11/22/2022,285,1799,Store,510,5635.88,98,47,0,0,0
11/23/2022,285,1799,Delivery,7,198.72,2,1,0,0,0
11/23/2022,285,1799,Store,555,6197.73,129,54,0,0,0
11/25/2022,285,1799,Delivery,5,87.18,0,0,0,0,0
11/25/2022,285,1799,Store,459,5292.3,93,41,0,0,0
11/26/2022,285,1799,Delivery,1,15.04,0,0,0,0,0
11/26/2022,285,1799,Store,445,5413.83,106,29,0,0,0
11/27/2022,285,1799,Delivery,5,95.74,1,0,0,0,0
11/27/2022,285,1799,Store,389,4849.35,88,37,0,0,0
11/28/2022,285,1799,Delivery,5,128.93,2,0,0,0,0
11/28/2022,285,1799,Store,520,6028.82,112,77,0,0,0
11/29/2022,285,1799,Delivery,3,79.39,0,1,0,0,0
11/29/2022,285,1799,Store,509,5543.17,117,55,0,0,0
11/30/2022,285,1799,Delivery,3,69.65,0,0,0,0,0
11/30/2022,285,1799,Store,475,5262.59,81,47,0,0,0
12/01/2022,285,1799,Delivery,6,150.73,0,0,0,0,0
12/01/2022,285,1799,Store,568,6510.96,71,125,34,31,418.31
12/02/2022,285,1799,Delivery,4,144.08,4,0,0,0,0
12/02/2022,285,1799,Store,579,6638.28,92,107,28,25,302.03
12/03/2022,285,1799,Delivery,9,218.66,4,0,0,0,0
12/03/2022,285,1799,Store,479,5841.96,85,84,27,23,373.55
12/04/2022,285,1799,Delivery,4,86.1,2,0,0,0,0
12/04/2022,285,1799,Store,403,4846.4,79,82,19,19,241.75
12/05/2022,285,1799,Delivery,6,131.69,2,0,0,0,0
12/05/2022,285,1799,Store,493,5398.11,78,129,48,45,606.01
12/06/2022,285,1799,Delivery,2,39.79,0,0,0,0,0
12/06/2022,285,1799,Store,472,4824.41,63,126,43,40,478.37
12/07/2022,285,1799,Delivery,3,73.51,0,0,0,0,0
12/07/2022,285,1799,Store,531,5825.85,98,124,36,30,346.42
12/08/2022,285,1799,Delivery,4,119.38,1,0,0,0,0
12/08/2022,285,1799,Store,522,5350.1,78,102,30,28,392.93
12/09/2022,285,1799,Delivery,2,86.3,2,0,0,0,0
12/09/2022,285,1799,Store,550,6258.94,95,121,37,36,492.78
12/10/2022,285,1799,Delivery,6,139.77,2,4,0,0,0
12/10/2022,285,1799,Store,505,6321.58,94,99,37,31,442.51
12/11/2022,285,1799,Delivery,6,140.9,1,1,0,0,0
12/11/2022,285,1799,Store,338,3802.41,46,59,19,19,223.89
12/12/2022,285,1799,Delivery,5,84.41,0,0,0,0,0
12/12/2022,285,1799,Store,513,5119.42,56,122,44,40,433.97
12/13/2022,285,1799,Delivery,6,144.2,1,0,0,0,0
12/13/2022,285,1799,Store,456,4671.79,68,106,38,33,428.06
12/14/2022,285,1799,Delivery,1,11.94,0,0,0,0,0
12/14/2022,285,1799,Store,477,5121.22,79,117,44,39,508.19
